title,companyname,joblink,location,date_posted,state,shortregion,city,jobtype,jobdescription,jobid,salaryrange,salarytype,email,contact_name,source_name,company_logo,experience,workpermit,skills
Ab Initio Consultant,Tekskills Inc.,https://www.linkedin.com/jobs/view/ab-initio-consultant-at-tekskills-inc-4032975328?position=1&pageNum=0&refId=KpMvxk647dPAYLKThaJp4g%3D%3D&trackingId=WVqGY0KXEr0SBc8Pvztvfg%3D%3D,"Whippany, NJ",2024-09-24,New Jersey,NJ,Whippany,Contract,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<p><strong>Job Title: Ab Initio Developer</strong></p><p><strong>Location: Whippany, NJ (Hybrid)</strong></p><p><strong>Duration: 12 Months</strong></p><p><strong> </strong></p><p><strong>JD:  </strong></p><ul><li>Ability to create new AB Initio design flow, code and develop graphs, do troubleshooting analysis and work with operational resources to deploy code in Production environment. </li><li>Strong communication skills to participate in meetings. </li><li>Be familiar with SQL with a relational database - preferably Oracle Be familiar with Production jobs performance tuning, work with API invocation through Ab Initio graphs. </li><li>Responsible to understand business requirements and create new design flows. </li><li>Be able to code and promote graphs to QA and work with team to tag and participate in Production deployment releases. </li><li>Be able to work with SQL queries in Oracle and basic performance tuning.</li></ul><p><br/></p><p><strong>Must Have Skills</strong></p><ul><li>Abinitio</li><li>Data base</li><li>Oracle PL</li></ul><p><br/></p>
</div>",4032975328,,,,,linkedin,company_logo,,,
OFSAA Consultant,Compunnel Inc.,https://www.linkedin.com/jobs/view/ofsaa-consultant-at-compunnel-inc-4034314647?position=4&pageNum=0&refId=KpMvxk647dPAYLKThaJp4g%3D%3D&trackingId=ffnE7k1IhuIt%2FuUUCxdBSA%3D%3D,"Columbus, Ohio Metropolitan Area",2024-09-24,Ohio Metropolitan Area,,Columbus,Contract,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<p><strong>About the Company:</strong></p><p>Huntington Bank is a financial institution located in Columbus, OH, committed to providing excellent banking services.</p><p><br/></p><p><strong>About the Role:</strong></p><p>The role requires 2-5 years of experience working with OFSAA, strong communication skills, and a deep understanding of Oracle and finance principles.</p><p><br/></p><p><strong>Responsibilities:</strong></p><ul><li>Translate detailed business requirements into design specifications</li><li>Design and develop application configurations using PL/SQL and Erwin Data Modeling</li><li>Support regulatory reports and schedules</li><li>Experience with analytical platforms and BI tools</li><li>Knowledge of regulatory rules and database structures</li></ul><p><br/></p><p><strong>Qualifications:</strong></p><p>2-5 years of experience working with OFSAA</p><p><br/></p><p><strong>Required Skills:</strong></p><ul><li>Strong knowledge of OFSAA suite of products</li><li>Strong XML and Oracle skills</li><li>Strong understanding of Finance and Accounting principles</li></ul><p><br/></p><p><strong>Preferred Skills:</strong></p><ul><li>Experience with Adenza (formerly AxiomSL)</li><li>Knowledge of regulatory rules, including LCR, NSFR, Enhanced Prudential Standards/Reg YY</li><li>Experience with database structures, data management, and visualization applications</li></ul><p><br/></p><p><strong>Pay range and compensation package:</strong></p><p>Salary will be commensurate with experience and qualifications.</p><p><br/></p><p><strong>Equal Opportunity Statement:</strong></p><p>We are committed to diversity and inclusivity in our workplace.</p><p></p>
</div>",4034314647,,,,,linkedin,company_logo,,,
NetSuite Consultant,Saralux,https://www.linkedin.com/jobs/view/netsuite-consultant-at-saralux-4032968983?position=5&pageNum=0&refId=KpMvxk647dPAYLKThaJp4g%3D%3D&trackingId=2sxYEo163HWfXPC1VU2qaw%3D%3D,"Texas, United States",2024-09-24,United States,,Texas,Full-time,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<p>In this position, you will be responsible for providing insights to clients. To do so, you will first meet with our clients to uncover their business needs and challenges. Then, you will use your strong analytical skills to perform quantitative and observational data analyses. From these analyses, you will form and present your recommendations to our clients. </p><p> </p><p><strong>Responsibilities</strong></p><ul><li>Prepare and execute client workshops</li><li>Interface with clients to discover their business challenges</li><li>Perform quantitative and observational data analyses</li><li>Create and present client recommendations</li></ul><p><br/></p><p><strong>Qualifications</strong></p><ul><li>Strong analytical, communication and quantitative skills</li><li>Demonstrated proficiency in MS Excel</li><li>Strong presentation and communication skills</li></ul><p><br/></p><p><br/></p><p>*** NetSuite Experience is necessary.  The position is for a client-facing technical role.  NOT Developers. ***</p>
</div>",4032968983,,,,,linkedin,company_logo,,,
Senior DevSecOps Consultant,Trility Consulting,https://www.linkedin.com/jobs/view/senior-devsecops-consultant-at-trility-consulting-4034336763?position=11&pageNum=0&refId=KpMvxk647dPAYLKThaJp4g%3D%3D&trackingId=U0xJJCH5UQJhzvesJ58rMQ%3D%3D,"Denver, CO",2024-09-24,Colorado,CO,Denver,Full-time,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<p>Trility Consulting is actively seeking a Senior DevSecOps Consultant for a hybrid role in Denver, CO. This is an exciting opportunity to partner with Trility clients, taking them from “napkin to production.” You will listen to their challenges with empathy while using your unique problem-solving skills to discover the right approach and deliver value throughout the engagement.</p><p><br/></p><p>The ideal candidate will have experience with deploying and managing Elastic Stack solutions using Elastic Cloud in a Kubernetes environment. If you are an expert in the field and a powerhouse on the keyboard, we want to talk to you!</p><p><br/></p><p><strong>An active Secret Security Clearance is required.</strong></p><p><br/></p><p><strong>Job Requirements:</strong></p><p><br/></p><ul><li>5+ years of DevSecOps practices experience</li><li>Experience with deploying and managing Elastic Stack solutions in a Kubernetes environment</li><li>Experience with deploying and managing Elastic Stack using Elastic Cloud</li><li>Proficiency in Kubernetes and Helm for container orchestration and management </li></ul><p><br/></p><p><strong>Preferred Skills:</strong></p><p><br/></p><ul><li>Experience using resource provisioning tools such as Terraform</li><li>Proficient with scripting tools such as Bash and Python</li><li>Familiar with Git branching strategies and Jenkins pipeline deployments </li><li>Previous data center experience is a plus</li></ul><p><br/></p><p><strong>About Trility Consulting:</strong></p><p><br/></p><p>Since the start, we've focused on building a collaborative environment with remote, geographically distributed teams – within the United States. Trility serves clients from all corners of the United States and globally. While Trility is headquartered in Des Moines, Iowa, we support remote work and flexible hours.</p><p><br/></p><p>Trility’s culture is built upon the journey, character, and work ethic of our team members. We are a team of honorable and professional lifelong learners, who work together to proactively solve problems. </p><p><br/></p><p>We look for team members with the grit necessary to forge paths where none previously existed, to get back up when circumstances knock you down, to adapt to the changing needs of the client even when it is uncomfortable, and to deliver on our commitments. You respect and value people, recognize that over-communication is barely good enough, thrive on solving complex problems, have a passion for building teams, and know that delivering what a client actually values is more important than your own predispositions. You understand value propositions, love delivering value, and take pride in learning the expansive and ever-changing business of clients. You are self-motivated and relentlessly working to become more today than you were yesterday.</p>
</div>",4034336763,,,,,linkedin,company_logo,,,
NetSuite Senior Consultant,BPM LLP,https://www.linkedin.com/jobs/view/netsuite-senior-consultant-at-bpm-llp-4032969218?position=13&pageNum=0&refId=KpMvxk647dPAYLKThaJp4g%3D%3D&trackingId=F14ZvckdDujIPJDO9bWtLQ%3D%3D,United States,2024-09-24,United States (Remote),,,Full-time,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<p>Caravel BPM Technology Solutions – where caring and community is in our company DNA, we are always striving to be our best selves and we’re compelled to ask the questions that lead to innovation. As a Managed Services NetSuite Consultant, you will lead and understand a client’s subscription terminology, gather requirements, configure, test, and walk the client through end-to-end processes and train end users. Industry experience in the software and services verticals are preferred. Our team of consultants is a smart and friendly team who enjoy working together in a collaborative and supportive work environment.</p><p><br/></p><p>Working with Caravel BPM means using your experiences, broadening your skills, and reaching your full potential in work and life—while also making a positive difference for your clients, colleagues, and communities. Our shared entrepreneurial spirit drives us to see and do things differently. Our passion for people makes BPM a place where everyone feels welcome, valued, and part of something bigger. Because People Matter.</p><p><br/></p><p><br/></p><p>What you get:</p><p><br/></p><ul><li><strong>Total rewards package:</strong> from flexible work arrangements to personalized benefit structures and financial compensation options that give you choice and flexibility.</li><li><strong>Well-being resources:</strong> interactive wellness platform and incentives, an employee assistance program and mental health resources, and Colleague Resource Groups (CRGs)<u> that…</u></li><li><strong>Balance &amp; flexibility: </strong>14 Firm Holidays including 2 floating, Flex PTO,paid family leave, winter break,summer hours, and remote work options<u>, so you can balance challenging yourself with taking care of yourself.</u></li><li><strong>Professional development opportunities:</strong><u>A learning culture with </u>CPA exam resources and bonuses, tuition reimbursement, a coach program, and live classes, workshops, and seminars through BPM University.</li></ul><p><br/></p><p><br/></p><p><br/></p><p>Who is successful at BPM:</p><p><br/></p><ul><li>Caring people who put others first</li><li>Self-starters who embody the BPM entrepreneurial spirit</li><li>Authentic individuals with a diverse point of view</li><li>Lifelong learners with a drive to excel</li><li>Resilient people who rise to the occasion</li></ul><p><br/></p><p>Responsibilities:</p><p><br/></p><ul><li>Extensive experience within the NetSuite standard and advanced ARM module and Suitebilling</li><li>Thorough understanding of NetSuite’s subscriptions, billing accounts, and invoicing processes</li><li>Experience implementing and onboarding new customers onto Suitebilling/NetSuite</li><li>Salesforce to NetSuite billing, specifically as it connects to Suitebilling modules</li></ul><p><br/></p><p><br/></p><p>Requirements:</p><p><br/></p><ul><li>Experience in end-to-end implementations in NetSuite.</li><li>Proficient in end-to-end implementations with SuiteBilling and ARM.</li><li>Set Up (Billing Account, Subscription Plan, Pricebook)</li><li>Invoice Billable Customers/Process Billing Operations</li><li>Usage Use Cases &amp; Recurring Billing Use Cases</li><li>Data Migration (Billing Account, Price Plan, Subscription Plan, Price Book, Subscription, Subscription Activation Change Order, Subscription Event Revenue Recognition)</li><li>Advance Revenue Management</li><li>For applicants in Canada, this position may involve travel to the United States. Therefore, said candidates must be eligible to travel to the United States for client engagements</li></ul><p><br/></p><p><br/></p><p>Wondering if you should apply?</p><p><br/></p><p>At BPM we are people who value people. We are progressive and purposeful. We are a firm with flexibility. Our shared entrepreneurial spirit drives us to see and do things differently. And our passion for people makes BPM a place where everyone feels welcome, valued, and part of something bigger.</p><p><br/></p><p>***************</p><p><br/></p><p>BPM provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.</p><p><br/></p><p>For positions based in San Francisco, consideration of qualified candidates with arrest and conviction records will be in a manner consistent with the San Francisco Fair Chance Ordinance.</p><p><br/></p><p>Please note - this posting is for prospective candidates only. Unsolicited third-party resume submissions will be considered property of BPM and will not be acknowledged or returned.</p><p></p>
</div>",4032969218,100000.0 - 125000.0,yearly,,,linkedin,company_logo,,,
Windchill Consultant,Jobs via Dice,https://www.linkedin.com/jobs/view/windchill-consultant-at-jobs-via-dice-4032972292?position=14&pageNum=0&refId=KpMvxk647dPAYLKThaJp4g%3D%3D&trackingId=nEqXC%2FLhoHy9qE7DJNfPyg%3D%3D,United States,2024-09-24,United States (Remote),,,Full-time,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
          8+ years of overall experience in Windchill PLM application design, development, and support.<br/><br/>Strong Experience in PTC Windchill PDM Link, Option &amp; Variants, Workflow, OIR, InfoEngine Task customization &amp; configuration.<br/><br/>Strong experience in Windchill solution design, data modelling<br/><br/>Strong experience in Windchill ESI, Info Engine integration and working on TIBCO middleware<br/><br/>Experienced in working with MCAD SolidWorks and SAP integrations<br/><br/>In depth knowledge and good experience in JAVA, J2EE, JSP, Java Script, XML.<br/><br/>Ajax, Bootstrap, and jQuery (Good to have).<br/><br/>A bachelor s degree in engineering, Computer Science, Information Technology or related<br/><br/>Windchill Consultant
        </div>",4032972292,,,,,linkedin,company_logo,,,
Cobol Consultant,Jobs via Dice,https://www.linkedin.com/jobs/view/cobol-consultant-at-jobs-via-dice-4032969724?position=18&pageNum=0&refId=KpMvxk647dPAYLKThaJp4g%3D%3D&trackingId=iSFaLyv7kiiPxDtWRDtRMw%3D%3D,"Lansing, MI",2024-09-24,Michigan,MI,Lansing,Full-time,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
          Hi !<br/><br/>GapBridge is actively looking to hire some one on Cobol Consultant position who are Local/ready to Relocate to the location <strong>""Lansing, MI""</strong>. It is available on W2 and C2C.<br/><br/><strong>Role:</strong> Cobol Consultant<br/><br/><strong>Location:</strong> Lansing<strong>, MI</strong> (Hybrid mode Candidate must be ready to work from Lansing<strong>, MI </strong>)<br/><br/><strong>Type of hire:</strong> W2 and C2C<br/><br/><strong>Job Description: <br/><br/></strong><strong>Additional skills/experience:</strong> Xgen, Algol, Unisys, Bl products, Programmer s Workbench, Cande, DMSII, COMS, WFL, ERGO.Must have experience and knowledge of project/work estimation and ability to provide estimates for when their part of the work will be done, knows data capture software, etc.<br/><br/><ul><li>Ability to write detailed technical design documents and develop COBOL applications.</li><li>Must be proficient and experienced at writing and modifying system documentation.</li><li>Clear communication skills and ability to lead meetings and follow-up, Validate test data and test results.</li><li>Maintain and develop knowledge and skills in technical management, including team building, teamwork, and career development.</li><li>Manage or serve on special projects or evaluation committees as assigned.</li><li>Assist Senior Management in establishing and ensuring a professional workplace environment.</li><li>Must be able to perform secure coding and release management.</li><li>Must be able to perform development on internal and external applications.</li><li>Must be able to successfully work independently.</li><li>Must be proficient and experienced at writing and modifying system documentation.</li><li>Provide clear communication both verbally and in writing.</li><li>Must be able to clearly explain technical information to both technical and non-technical individuals. </li><li>Must be able to assist in the gathering of requirements (traditional waterfall and agile) for all IT solutions and be able to develop the application requested from the requirements.</li><li>Validate and finalise Local Change Board and Enterprise Change Board documents.</li><li>Ensure proper change management for all requested fixes to production systems.</li><li>Ensure proper change management for all requested changes to system designs and system architecture standards are documented.</li><li>Validate test data and test results.<br/><br/></li></ul>Thank you.
        </div>",4032969724,,,,,linkedin,company_logo,,,
Local Connection Consultant,Windstream,https://www.linkedin.com/jobs/view/local-connection-consultant-at-windstream-4032201008?position=19&pageNum=0&refId=KpMvxk647dPAYLKThaJp4g%3D%3D&trackingId=CCnIpRR3NnChYn48mtu7Eg%3D%3D,"Quitman, TX",2024-09-24,Texas,TX,Quitman,Full-time,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
          Kinetic is a premier internet solutions provider on a mission to deliver ultra-fast, reliable internet to consumers and small businesses across the U.S., helping them Internet better™.<br/><br/><ul><li>As part of the Kinetic family, you’ll have the opportunity to work with cutting-edge technology, including premium broadband, security solutions, voice, and digital TV services, all delivered through our enhanced fiber network.</li><li>Join us in revolutionizing how people connect and communicate. Your work will directly contribute to making Kinetic the most helpful internet service provider, ensuring our customers Internet better™ every day.<br/><br/></li></ul><strong>_________________________________________________________ <br/><br/></strong><ul><li> This is a hybrid position that allows you the flexibility to work from home in the South Georgia area, while also having to attend events and go into the office as directed by your leader.<br/><br/></li></ul><strong>About The Role<br/><br/></strong>Are you ready to become the face of innovation and customer satisfaction in your community? Kinetic is seeking passionate individuals for a dynamic role that blends sales, customer service, and community engagement into one exciting opportunity. This position is not just a job; it's a chance to make a real impact – to be the local connection that our customers rely on, providing top-notch service and introducing them to the latest in telecommunications technology.<br/><br/>As a Local Connection Consultant, you will assist Kinetic customers with inquiries about the Kinetic suite of products and services. You will engage the customer through phone, email, social media or face-to-face, always promoting and representing the Kinetic brand with the utmost professionalism.<br/><br/><strong>What You’ll Do<br/><br/></strong><ul><li>Handle local customer service inquiries. </li><li>Engage in both inbound and outbound sales activities. </li><li>Generate referrals for new sales and upgrades through engagement with operations and techs.</li><li>Provide support for field operations and assist with customer issues and escalations.</li><li>Assist in promoting local events and represent Kinetic at community and selling events.</li><li>Collaborate with other Windstream sales teams as needed. </li><li>Marketing activities to fill the sales funnel and promote local. </li><li>Act as brand ambassadors in the region and support corporate sales initiatives as needed.</li><li>Support regional social media through local “human” responses.</li><li>Maintain inventory of modems to assist customers locally. </li><li>Promote “Local.” Local Contact, Local Connection, Local Number.<br/><br/></li></ul><strong>Do You Have<br/><br/></strong><ul><li>Experience in Sales, Customer Service, Retail, Local Marketing, Telecommunications or Hospitality</li><li>Intermediate experience using Microsoft Office or other professional software</li><li>Ability to meet and exceed sales targets in a commission-based environment.</li><li>A professional attitude along with a confident and outgoing personality. </li><li>Ability to work effectively with cross-functional teams to meet a common goal </li><li>Proficient and professional verbal and written communication skills. </li><li>Ability to build rapport quickly and successfully with a wide range of customers. </li><li>Experience problem solving quickly and decisively. </li><li>Ability to use diplomacy when working with challenging or demanding customers. </li><li>High School Degree or GED equivalent. </li><li>Valid Driver’s License. <br/><br/></li></ul><strong>Even Better<br/><br/></strong><ul><li>Coachable and motivated</li><li>A desire to work in a fast paced environment</li><li>Bilingual<br/><br/></li></ul><strong>Physical Tasks</strong>- Standing Continuously: 67-100% |Walking Frequently: 34-66% | Sitting: Occasionally: 0-33% | Driving: Car: Frequently: 34 – 66%<br/><br/>Bending: Occasionally: 0-33% | Crouching: Occasionally: 0-33% | Pushing-Pulling: Occasionally: 0-33% | Carrying: Occasionally: 0-33% | Reaching Above Head: Occasionally: 0-33% | Lifting-Lowering &gt;1-15 lbs: Continuously: 67-100%, &gt;15-30 lbs: Occasionally: 0-33%, &gt;30+lbs: Occasionally: 0-33% | Repetitive Hand Action: Medium Dexterity: Frequently: 34-66% | Fine Manipulating: Occasionally: 0-33%<br/><br/><strong>Audio Visual Needs</strong> - Hearing: Continuously: 67-100%| Near Vision: Frequently: 34-66% | Far Vision: Occasionally: 0-33% |Peripheral Vision: Occasionally: 0-33% | Color Discrimination: Occasionally: 0-33%<br/><br/><strong>Equipment Used in Job Performance/Working Environment</strong>: Computer, Printer, Telephone, Cellular Phone<br/><br/><strong>Type of Driver’s License Required</strong>: Driver’s License<br/><br/>IND456<br/><br/><strong>_________________________________________________________<br/><br/></strong><strong>Our Benefits<br/><br/></strong><ul><li>Medical, Dental, Vision Insurance Plans</li><li>401K Plan</li><li>Health &amp; Flexible Savings Account</li><li>Life and AD&amp;D, Spousal Life, Child Life Insurance Plans</li><li>Educational Assistance Plan</li><li>Identity Theft, Legal, Auto &amp; Home and Pet Insurance</li><li>https://windstreambenefits.com<br/><br/></li></ul><strong>Windstream CIB Statement<br/><br/></strong>Connecting people in a world of infinite possibilities. Windstream cultivates a workplace culture where innovation and belonging are the cornerstones of our success. We are dedicated to empowering every member of our team to contribute their unique talents and perspectives, fostering an environment where creativity and innovation flourish. Together, we strive to build a more welcoming and connected future, both within our organization and in the broader community we serve.<br/><br/><strong>Our Employee Resource Groups<br/><br/></strong><ul><li>WinVets – Veteran Employee Resource Group</li><li>WOW – Women Employee Resource Group</li><li>WINPRIDE – LGBTQ+ Employee Resource Group</li><li>WBPN – Black Professional Resource Group</li><li>WARG – Ability Resource Group</li><li>LaFamilia –Hispanic Resource Group</li><li>AAPI - Asian American Pacific Islander Resource Group<br/><br/></li></ul>Windstream is an equal opportunity employer. At Windstream, we celebrate the authenticity and uniqueness of our people and their ideas. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, genetic information, protected veteran status, current military status, disability, sexual orientation, gender identity, marital status, creed, citizenship status, or any other status protected by law, and to give full consideration to qualified disabled individuals and protected veterans. The diverse voices of our employees fuel our innovation and our inclusive culture. Employment at Windstream is subject to post offer, pre-employment drug testing.<br/><br/>Actual base pay for this job will depend on the candidate's primary work location and other factors, such as relevant skills and experience.<br/><br/><strong>Notice to Non-U.S. Citizens:</strong> Windstream, as a holder of licenses granted by the Federal Communications Commission, is required to notify and to obtain approval from federal regulatory agencies prior to granting certain system/network access to any non-U.S. citizen personnel. Offers of employment extended to non-U.S. citizens are contingent upon receiving the requisite approval from agencies overseeing compliance. Non-U.S. citizens are required to provide Windstream with the personal identifying information required to obtain the necessary approval prior to accessing certain systems and/or Windstream’s network. <em>If you are not a U.S. citizen, please notify your recruiter or email<br/><br/>[email protected]<br/><br/>as soon as possible for information on Windstream’s foreign personnel disclosure and approval requirements.</em>
</div>",4032201008,,,,,linkedin,company_logo,,,
Oracle Applications Technical Senior Principal Consultant,Jobs via Dice,https://www.linkedin.com/jobs/view/oracle-applications-technical-senior-principal-consultant-at-jobs-via-dice-4032970617?position=1&pageNum=0&refId=SYjCND04MQ5yqIhErxKzdQ%3D%3D&trackingId=o7QpdKUeh0kP0FBYbEkNLg%3D%3D,United States,2024-09-24,United States (Remote),,,Full-time,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<strong>Job Overview:<br/><br/></strong>We are looking for a seasoned Oracle Cloud Technical Leader with expertise in Oracle Fusion Cloud and Oracle eBS R12.2 upgrades. The perfect candidate will possess over a decade of experience and excel in full cycle implementations, with a strong emphasis on Oracle Cloud implementation, configuration, and integration.<br/><br/><strong>Primary Responsibilities:<br/><br/></strong><ul><li>Lead and manage technical design workshops, including developing strategies and creating presentations.</li><li>Oversee the development of RICE/CEMLI objects and clearly communicate project status.</li><li>Provide technical expertise for extracting, cleansing, and mapping legacy data to Oracle file-based data loader templates.</li><li>Create reports, analyses, and dashboards using Oracle tools like OTBI, BI Publisher, Apex, Smart View, and Financial Reporting Studio.</li><li>Write complex SQL queries and understand security architecture, user roles, and data access within Oracle Cloud.</li><li>Develop custom roles to fulfill business requirements.</li><li>Support technical aspects of Oracle implementations in Financials and Supply Chain domains.</li><li>Exhibit leadership by supervising teams, fostering trust, and encouraging diverse perspectives.</li><li>Guide and mentor less-experienced staff, providing meaningful feedback.</li><li>Coordinate and manage multiple projects, effectively prioritizing tasks.</li><li>Ensure successful integration with Oracle Cloud using FBDI, APIs, and other technologies, including SaaS-PaaS and hybrid approaches.<br/><br/></li></ul><strong>Qualifications:<br/><br/></strong><ul><li>Extensive experience in Oracle Cloud implementation and configurations. Certifications are a plus.</li><li>Expertise in using Oracle reporting tools and crafting complex SQL queries.</li><li>Deep understanding of functional process flows in Financials and Supply Chain.</li><li>Excellent written, oral communication, and leadership abilities.</li><li>Proven capability to lead and manage technical teams, including offshore collaboration.<br/><br/></li></ul>If you are a visionary leader passionate about Oracle Cloud solutions and committed to excellence, we invite you to apply for this exciting opportunity.
        </div>",4032970617,,,,,linkedin,company_logo,,,
Oracle EBS Financials Developer - PL/SQL / APEX,Jobs via Dice,https://www.linkedin.com/jobs/view/oracle-ebs-financials-developer-pl-sql-apex-at-jobs-via-dice-4032970615?position=3&pageNum=0&refId=SYjCND04MQ5yqIhErxKzdQ%3D%3D&trackingId=q%2Bu7Blz95PXpum3sqJetBw%3D%3D,"Cherry Hill, NJ",2024-09-24,New Jersey,NJ,Cherry Hill,Contract,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<strong>EBS Financials Software Engineer (Consultant)<br/><br/></strong><strong> Summary:<br/><br/></strong>The EBS Financials Software Engineer works within accepted IT guidelines and with various members of the Business and IT Community to design, develop and test software within EBS application areas. Software Engineer is responsible for executing critical projects and system enhancements working closely with IT Leads and the IT Manager for Financial applications. The Software Engineer will also be responsible for day-to-day IT support of the applications developed as necessary. All solutions are targeted at leveraging the investment in our Oracle EBS platform.<br/><br/><strong> Responsibilities:<br/><br/></strong><ul><li>The consultant will participate in all aspects of Software Development Life Cycle (SDLC) for EBS Financial systems projects and customizations.</li><li>Work closely with the business to develop business solutions. </li><li>Work with other IT teams, vendors and consultants to ensure project goals and milestones are achieved</li><li>Gather and Analyze business requirements and estimate design/development work.</li><li>Evaluate and come up with best options for solution architecture.</li><li>Develop technical design based on requirements from the business team.</li><li>Perform development using PL/SQL, Oracle Application Express (APEX), Oracle ORDS.</li><li>Ensure system implementations meet high quality standards and outstanding issues are prioritized and resolved.</li><li>Follow PMO process and code control standards using source control tools like SVN/GITS</li><li>Come up with test strategy and work with offshore team/business users on UAT.</li><li>Create functional, technical specifications and deployment documents as per internal standards.<br/><br/></li></ul><strong> Education/Experience:<br/><br/></strong>8-10 years of experience in Oracle EBS software development and support<br/><br/><strong> Skill Requirements:<br/><br/></strong><ul><li>Experience in a software development position including requirements definition, technical designs, coding, testing and implementation.</li><li>Strong background in Oracle technology with all the following skill set is a must: SQL, PL/SQL, APEX, ORD webservices.</li><li>Additional background with any of the following is a plus: Unix, XML and Java, ADF</li><li>Experience in any of these functional areas is required: Accounts Receivables, Accounts Payables, Inventory, Fixed Assets, Projects, GL</li><li>Solid verbal and written communication skills with analytical skills and ability to communicate ideas to business/functional users.</li><li>Demonstrates accountability for meeting milestones and delivery of a quality product.</li><li>Require ability to work on simultaneous tasks in parallel in a fast-paced environment.<br/><br/></li></ul><strong>Work Environment<br/><br/></strong><ul><li>Hybrid work environment <br/><br/></li></ul><strong>Start</strong>: ASAP<br/><br/><strong>Duration</strong>: 12+ months<br/><br/><strong>Location:</strong> Cherry Hill, NJ area. Hybrid, working onsite 3 days/week.<br/><br/><strong>Position Type:</strong> Contract<br/><br/><strong>Hourly Rate</strong>: TBD<br/><br/>Please let me know if you d like any additional information<br/><br/>Oracle EBS Financials Developer - PL/SQL / APEX
        </div>",4032970615,,,,,linkedin,company_logo,,,
